"","FreshMass","DryMass","WaterContent","LeafArea","Perimeter","AspectRatio","Circularity","Solidity","LMA","LaminaThickness","LaminaDensity","LaminaToughness","ChlorophyllContent._SPAD","ChlorophyllContent_areabasis","ChlorophyllContent_massbasis","TrichomeDensity","AshContent","TotalPhenolics","TotalFlavonoids"
"PPN_216",1.34,0.176497424703929,7.35064443058048,61.05,46.52,1.38,0.35,0.77,31.3347921348642,0.36,0.0934484983272129,26.97,37.37,408.77,12.3733122414636,404,12.45,1.88,2.4
"PPN_217",2.45,0.338729202399298,6.69368610622043,83.86,53.12,1.33,0.38,0.8,40.6591101916471,0.37,0.112626588564718,31.23,39.1,438.8,11.0544997553598,517.33,12.57,1.99,2.14
"PPN_218",0.72,0.0144264273539473,9.59357626647128,57.4,40.07,1.56,0.46,0.85,6.66426670931787,0.22,0.0725646979888864,14,35.3,376.72,17.5168036714386,344,16.8,1.13,2.17
"PPN_219",1.69,0.260465846470357,6.02605072199169,71.63,44.65,1.33,0.45,0.87,37.2077165406176,0.29,0.12598156412808,28.77,36.2,388.98,10.5251895871307,456,11.17,1.9,1.97
"PPN_220",2.33,0.303584204755453,5.95653433617736,53.39,39.59,1.5,0.46,0.85,50.6284487508907,0.35,0.14741760102802,26.13,45.07,555.49,11.6931690292567,376,11.8,1.5,2.65
"PPN_222",1.42,0.157370452211962,8.57238783664766,82.68,48.02,1.42,0.45,0.84,15.6002543063322,0.35,0.0561207458554321,23.9,41.73,487.93,17.2305806356385,594.67,13.23,2.26,2.61
"PPN_223",2.11,0.290634509100247,6.56572809495367,65.4,45.79,1.48,0.39,0.78,45.0862422175501,0.41,0.114564982113162,28.47,45.4,560.62,12.9179035329352,444,11.2,1.72,2.14
"PPN_224",1.63,0.251576372219335,5.71958147277649,57.49,41.3,1.22,0.4,0.83,45.7474059723467,0.43,0.10925336657413,33.18,40.58,467.97,10.1271816881936,434.67,12.5,1.89,2.35
"PPN_225",1.71,0.214402189565262,7.29747338089054,68,43.45,1.36,0.45,0.84,32.2657133632189,0.41,0.0797610665273714,27.23,40.67,467.52,13.4808802954812,629.33,17.7,2.03,1.9
"PPN_226",2.16,0.325857095310624,4.55536240268634,53.05,37.76,1.5,0.46,0.87,56.6857104312748,0.36,0.155325310040919,24.23,40.63,468.01,8.562762783979,573.33,12.07,2.26,2.2
